iter	Logloss
0	0.6805506247
1	0.6701570209
2	0.6613658537
3	0.6528571924
4	0.6461182716
5	0.641137574
6	0.6365855877
7	0.6326857597
8	0.6299416154
9	0.6274870484
10	0.625023594
11	0.6230517872
12	0.6214677029
13	0.6200079023
14	0.6189608769
15	0.6178526605
16	0.6169928295
17	0.6161014673
18	0.6153221833
19	0.6146690114
20	0.6139358884
21	0.6134655774
22	0.6129993252
23	0.6125100725
24	0.6120483782
25	0.6116900555
26	0.6113638161
27	0.6110982254
28	0.6108819303
29	0.6105151335
30	0.6103311681
31	0.6098633791
32	0.6095644295
33	0.6094198883
34	0.609183234
35	0.6089657621
36	0.6085275579
37	0.6082239838
38	0.6079476412
39	0.6077036716
40	0.6073705917
41	0.6072207151
42	0.6071068649
43	0.6069601179
44	0.6068064584
45	0.6067092806
46	0.6065697987
47	0.6063878247
48	0.6063210024
49	0.6062351782
50	0.6061392584
51	0.6059326757
52	0.6058017657
53	0.6056719127
54	0.6055959226
55	0.6055224803
56	0.6054107523
57	0.6052817115
58	0.605174349
59	0.6051042686
60	0.605022501
61	0.6048705993
62	0.6047668911
63	0.6046864474
64	0.6045281187
65	0.6043325843
66	0.6042748354
67	0.6040807803
68	0.603964192
69	0.6038855764
70	0.6038132566
71	0.603739381
72	0.6036679963
73	0.6035917661
74	0.6035285054
75	0.6034941451
76	0.6033982783
77	0.6033230697
78	0.6032428114
79	0.6031107867
80	0.6030495588
81	0.6029246264
82	0.6028554745
83	0.6027650079
84	0.6026979287
85	0.6026211366
86	0.6024814761
87	0.6024288086
88	0.6023783019
89	0.6022508337
90	0.602236857
91	0.6021826469
92	0.6020720156
93	0.6020018964
94	0.6019673311
95	0.601935974
96	0.6018367172
97	0.601754537
98	0.6017162136
99	0.6016642629
100	0.6016192162
101	0.6015137362
102	0.6014608883
103	0.601408574
104	0.6013388769
105	0.6012837315
106	0.6012212962
107	0.6011813905
108	0.6011307869
109	0.6010692609
110	0.6010074604
111	0.6009344669
112	0.6008778031
113	0.6008301561
114	0.6007513425
115	0.6006844281
116	0.6006361677
117	0.6005692331
118	0.6005035051
119	0.6004508619
120	0.6004135141
121	0.6003511041
122	0.6002862231
123	0.6002314169
124	0.6001663255
125	0.6001143638
126	0.6000736798
127	0.6000143484
128	0.599966972
129	0.5998847255
130	0.5998152739
131	0.5997667376
132	0.5996974074
133	0.5996222815
134	0.5995597245
135	0.5995206007
136	0.5994673515
137	0.5993902466
138	0.5993398287
139	0.5992997358
140	0.5992436637
141	0.5991607759
142	0.5990945278
143	0.5990523871
144	0.5990110211
145	0.5989715651
146	0.5989007031
147	0.5988294071
148	0.5987767327
149	0.5987151069
150	0.5986699373
151	0.598604683
152	0.5985799989
153	0.598531595
154	0.598469419
155	0.5984233384
156	0.5983729886
157	0.5983096428
158	0.5982464633
159	0.5982060778
160	0.5981539248
161	0.5981042864
162	0.5980482123
163	0.5979982976
164	0.5979342025
165	0.5978887569
166	0.5978318799
167	0.5977910827
168	0.5977424627
169	0.5976750859
170	0.5976155565
171	0.5975511947
172	0.5975123767
173	0.5974747525
174	0.5974324882
175	0.5973901269
176	0.5973368514
177	0.5972930764
178	0.5972475861
179	0.5971964892
180	0.5971408945
181	0.5971097608
182	0.5970736272
183	0.5970173429
184	0.5969802569
185	0.5969303811
186	0.5968919162
187	0.5968539233
188	0.5968048884
189	0.5967546708
190	0.5967285096
191	0.5966763759
192	0.596624111
193	0.5965960952
194	0.5965412946
195	0.5965017214
196	0.5964562991
197	0.596420053
198	0.5963902384
199	0.5963552915
200	0.5963296976
201	0.5962765632
202	0.5962400452
203	0.596220281
204	0.5961684889
205	0.5961245709
206	0.5960803903
207	0.5960339384
208	0.5959904828
209	0.5959293673
210	0.5958961274
211	0.5958482037
212	0.5958047082
213	0.5957510704
214	0.5957119609
215	0.5956743262
216	0.5956239765
217	0.5955965476
218	0.5955515664
219	0.5955113378
220	0.5954560844
221	0.5954152295
222	0.5953751656
223	0.5953419917
224	0.5953186009
225	0.5952781614
226	0.5952416543
227	0.5952114437
228	0.5951707124
229	0.5951338242
230	0.5950997159
231	0.5950612349
232	0.5950219292
233	0.5949896711
234	0.5949466263
235	0.5949271779
236	0.5948977691
237	0.5948651937
238	0.594832656
239	0.5947893235
240	0.5947605069
241	0.5947307337
242	0.5946927995
243	0.5946682882
244	0.5946354117
245	0.5945958618
246	0.5945500562
247	0.5945185085
248	0.5944928914
249	0.5944452222
250	0.5943986007
251	0.5943654995
252	0.5943226218
253	0.5943005017
254	0.594259725
255	0.5942271287
256	0.5942020195
257	0.5941833799
258	0.5941478695
259	0.5941247708
260	0.5940802299
261	0.5940444077
262	0.5940036888
263	0.5939637212
264	0.5939298175
265	0.5938943144
266	0.5938544055
267	0.5938300234
268	0.5937997823
269	0.5937638562
270	0.5937372625
271	0.5937070148
272	0.5936744858
273	0.5936438253
274	0.5936116218
275	0.5935836457
276	0.5935570177
277	0.5935229975
278	0.5934817455
279	0.593443867
280	0.5933964839
281	0.5933440433
282	0.5932985685
283	0.5932651286
284	0.5932213002
285	0.5931727775
286	0.5931301589
287	0.5931024882
288	0.5930682376
289	0.5930403547
290	0.5930037152
291	0.5929796936
292	0.5929600596
293	0.5929189944
294	0.592845492
295	0.5927822784
296	0.5927574672
297	0.5927106205
298	0.5926758268
299	0.5926361846
