iter	Passed	Remaining
0	91	27453
1	99	14826
2	107	10670
3	116	8605
4	125	7396
5	132	6476
6	141	5909
7	151	5515
8	157	5105
9	164	4769
10	170	4473
11	178	4278
12	185	4093
13	191	3915
14	199	3797
15	207	3683
16	213	3559
17	223	3498
18	229	3394
19	236	3317
20	243	3228
21	251	3177
22	258	3115
23	265	3054
24	273	3003
25	280	2960
26	288	2919
27	295	2866
28	302	2829
29	309	2781
30	317	2753
31	323	2711
32	330	2676
33	337	2641
34	346	2620
35	352	2587
36	360	2561
37	369	2545
38	376	2518
39	383	2490
40	389	2460
41	399	2451
42	407	2434
43	414	2409
44	423	2397
45	433	2392
46	440	2371
47	448	2356
48	457	2341
49	464	2323
50	472	2306
51	481	2297
52	489	2283
53	497	2268
54	508	2264
55	515	2247
56	523	2232
57	533	2224
58	543	2219
59	556	2224
60	564	2210
61	571	2194
62	578	2177
63	587	2165
64	595	2153
65	603	2137
66	610	2121
67	616	2101
68	622	2083
69	629	2067
70	636	2052
71	642	2036
72	650	2022
73	657	2008
74	663	1990
75	671	1977
76	677	1963
77	684	1948
78	691	1933
79	699	1922
80	707	1913
81	714	1900
82	721	1885
83	728	1873
84	735	1860
85	743	1849
86	750	1838
87	758	1826
88	765	1814
89	773	1804
90	780	1792
91	788	1782
92	796	1772
93	802	1759
94	810	1749
95	818	1739
96	825	1727
97	832	1715
98	841	1708
99	853	1707
100	869	1712
101	886	1721
102	898	1719
103	911	1718
104	919	1708
105	926	1695
106	935	1687
107	943	1676
108	950	1665
109	959	1657
110	966	1645
111	972	1632
112	981	1624
113	988	1612
114	994	1600
115	1000	1587
116	1009	1579
117	1018	1570
118	1028	1564
119	1037	1556
120	1044	1545
121	1053	1537
122	1062	1529
123	1074	1525
124	1086	1520
125	1094	1511
126	1102	1501
127	1110	1491
128	1117	1481
129	1125	1471
130	1133	1462
131	1141	1452
132	1150	1444
133	1159	1436
134	1168	1427
135	1179	1422
136	1191	1417
137	1199	1408
138	1208	1399
139	1216	1389
140	1225	1382
141	1232	1371
142	1239	1361
143	1250	1354
144	1262	1349
145	1269	1339
146	1276	1328
147	1281	1316
148	1289	1307
149	1297	1297
150	1303	1286
151	1310	1276
152	1317	1265
153	1321	1253
154	1328	1242
155	1337	1234
156	1344	1224
157	1350	1213
158	1356	1203
159	1363	1193
160	1371	1184
161	1378	1173
162	1383	1162
163	1390	1152
164	1397	1143
165	1405	1134
166	1412	1125
167	1423	1118
168	1432	1110
169	1439	1100
170	1446	1090
171	1454	1082
172	1462	1073
173	1470	1064
174	1476	1054
175	1483	1045
176	1491	1036
177	1498	1026
178	1505	1017
179	1513	1008
180	1519	998
181	1524	988
182	1532	980
183	1541	971
184	1549	962
185	1556	953
186	1563	944
187	1570	935
188	1578	926
189	1585	917
190	1592	908
191	1599	899
192	1604	889
193	1611	880
194	1618	871
195	1624	862
196	1632	853
197	1639	844
198	1646	835
199	1652	826
200	1659	817
201	1666	808
202	1672	799
203	1679	790
204	1686	781
205	1693	772
206	1700	763
207	1707	755
208	1714	746
209	1720	737
210	1728	728
211	1736	720
212	1743	712
213	1752	704
214	1758	695
215	1766	687
216	1773	678
217	1780	669
218	1787	661
219	1793	652
220	1801	643
221	1807	635
222	1814	626
223	1822	618
224	1829	609
225	1843	603
226	1852	595
227	1860	587
228	1870	580
229	1879	572
230	1887	563
231	1896	555
232	1906	548
233	1913	539
234	1921	531
235	1927	522
236	1936	514
237	1944	506
238	1951	498
239	1959	489
240	1965	481
241	1974	473
242	1981	464
243	1988	456
244	1999	448
245	2006	440
246	2013	432
247	2021	423
248	2029	415
249	2039	407
250	2045	399
251	2052	390
252	2057	382
253	2066	374
254	2073	365
255	2082	357
256	2090	349
257	2099	341
258	2105	333
259	2113	325
260	2121	316
261	2128	308
262	2134	300
263	2140	291
264	2145	283
265	2152	275
266	2158	266
267	2165	258
268	2171	250
269	2177	241
270	2184	233
271	2189	225
272	2196	217
273	2202	208
274	2209	200
275	2217	192
276	2224	184
277	2230	176
278	2237	168
279	2245	160
280	2253	152
281	2259	144
282	2266	136
283	2273	128
284	2280	120
285	2287	111
286	2294	103
287	2300	95
288	2307	87
289	2314	79
290	2321	71
291	2328	63
292	2334	55
293	2343	47
294	2351	39
295	2359	31
296	2366	23
297	2374	15
298	2381	7
299	2389	0
