iter	Logloss
0	0.6808692348
1	0.6698548271
2	0.66161091
3	0.6541419175
4	0.6478561198
5	0.6426086696
6	0.6384131084
7	0.6350900965
8	0.6321628099
9	0.6299120702
10	0.6280761622
11	0.6262585722
12	0.6247907845
13	0.6233725631
14	0.6222500025
15	0.6211741588
16	0.6201774603
17	0.6193545567
18	0.6186726197
19	0.6180101778
20	0.6174171767
21	0.6167569063
22	0.6162876709
23	0.6158846438
24	0.6153932806
25	0.6150004009
26	0.6146833413
27	0.6143537071
28	0.6139354383
29	0.6135781415
30	0.6133356628
31	0.6131667831
32	0.6130160535
33	0.6127455904
34	0.6125208805
35	0.6123028301
36	0.6120937359
37	0.6119284715
38	0.6117814072
39	0.6115955983
40	0.6112590689
41	0.6110132108
42	0.6108609019
43	0.6107367043
44	0.6106262996
45	0.6103826766
46	0.6102856849
47	0.6100343816
48	0.609953027
49	0.6098127521
50	0.6095987004
51	0.6094538574
52	0.6093333552
53	0.6092220055
54	0.6090701423
55	0.6089244176
56	0.608798261
57	0.6087188044
58	0.6085453012
59	0.6084732992
60	0.6082802673
61	0.6081626414
62	0.6080412623
63	0.6079617731
64	0.6079116367
65	0.6078577801
66	0.6077521251
67	0.6076905453
68	0.6075666577
69	0.6074442346
70	0.6073157419
71	0.6072687129
72	0.6071781225
73	0.607106109
74	0.6070785393
75	0.6070692092
76	0.6070092097
77	0.606881855
78	0.6067428336
79	0.6066576532
80	0.606629554
81	0.6065652811
82	0.6064449762
83	0.6063878551
84	0.606275813
85	0.6062250508
86	0.6061994666
87	0.6061374138
88	0.6060931587
89	0.6060253927
90	0.6059623073
91	0.6058792417
92	0.6057688264
93	0.6057146858
94	0.6056749036
95	0.605609472
96	0.6055530854
97	0.6054139851
98	0.6053517048
99	0.6052709217
100	0.6051966729
101	0.6051256657
102	0.6050412698
103	0.6049412622
104	0.6048502138
105	0.6047951893
106	0.6047510969
107	0.6047153774
108	0.6046442487
109	0.6045838047
110	0.6045348493
111	0.6044929462
112	0.6043950376
113	0.6043276889
114	0.6042610851
115	0.6042004131
116	0.6040933639
117	0.6040344147
118	0.603981384
119	0.6039339493
120	0.6038642247
121	0.6037975511
122	0.6037396157
123	0.6036757074
124	0.603629566
125	0.6035503696
126	0.603481839
127	0.6033915377
128	0.6033359272
129	0.6032733466
130	0.6032062016
131	0.6031443488
132	0.6030959735
133	0.603060361
134	0.6029635452
135	0.6029036809
136	0.602857694
137	0.6028140506
138	0.602769731
139	0.6027141342
140	0.6026603043
141	0.6026219993
142	0.6025780338
143	0.6025109395
144	0.6024447936
145	0.6023970391
146	0.6023433912
147	0.6022825741
148	0.6022376473
149	0.6021815145
150	0.602105482
151	0.6020403787
152	0.6020052006
153	0.6019478811
154	0.6018833585
155	0.6018234518
156	0.6017548174
157	0.6017066263
158	0.6016795569
159	0.6016467266
160	0.6015986469
161	0.6015737844
162	0.6015130509
163	0.6014570526
164	0.6014241922
165	0.6013806376
166	0.6013443412
167	0.601290744
168	0.6012455737
169	0.6012165343
170	0.601167992
171	0.6011297403
172	0.601078973
173	0.6010429486
174	0.6010094955
175	0.600972196
176	0.6009213394
177	0.6008806261
178	0.6008111227
179	0.6007259423
180	0.6006695078
181	0.6006304018
182	0.600593591
183	0.6005384637
184	0.6004894867
185	0.6004476716
186	0.600408746
187	0.6003482564
188	0.6003014566
189	0.6002589071
190	0.6002168443
191	0.6001752077
192	0.6001272043
193	0.6000859875
194	0.6000537022
195	0.6000047226
196	0.5999738413
197	0.599932361
198	0.5998830756
199	0.5998352759
200	0.5997812778
201	0.599725508
202	0.5997068829
203	0.5996837877
204	0.5996508375
205	0.5996182762
206	0.5995718423
207	0.5995390748
208	0.5994936832
209	0.5994660691
210	0.5994239102
211	0.5993676008
212	0.5993260112
213	0.599285887
214	0.5992461343
215	0.5991835129
216	0.5991328863
217	0.5990722417
218	0.5990430591
219	0.5989974158
220	0.5989611109
221	0.5989202593
222	0.5988726407
223	0.5988013246
224	0.598753909
225	0.5987082728
226	0.5986636703
227	0.5986246338
228	0.5985871055
229	0.598558299
230	0.5985163134
231	0.5984859993
232	0.5984553374
233	0.5984351226
234	0.5984029658
235	0.5983709631
236	0.5983266573
237	0.5982720872
238	0.5982270585
239	0.5981805195
240	0.598135499
241	0.5981016034
242	0.5980498689
243	0.5979995745
244	0.5979553379
245	0.5979330706
246	0.597896345
247	0.5978677885
248	0.5978239739
249	0.5977962285
250	0.597746762
251	0.597715859
252	0.5976573948
253	0.597616396
254	0.5975753804
255	0.5975434768
256	0.5975134604
257	0.5974735946
258	0.5974374519
259	0.5974063808
260	0.5973713843
261	0.5973541758
262	0.597311202
263	0.5972911423
264	0.5972455154
265	0.5972133163
266	0.5971769852
267	0.5971263199
268	0.5970936436
269	0.5970495528
270	0.5970092735
271	0.5969627056
272	0.5969273452
273	0.5968757983
274	0.5968425446
275	0.5968197884
276	0.5967776151
277	0.59672505
278	0.5966878349
279	0.5966583087
280	0.5966170816
281	0.5965698739
282	0.5965013657
283	0.5964479698
284	0.5964043382
285	0.5963765879
286	0.5963378699
287	0.5963224526
288	0.5963004167
289	0.5962712889
290	0.5962339755
291	0.5962002269
292	0.5961566515
293	0.5961291535
294	0.5961008429
295	0.5960428757
296	0.5960125724
297	0.5959930659
298	0.5959494268
299	0.5958994656
