iter	Passed	Remaining
0	11	3332
1	17	2612
2	23	2356
3	31	2306
4	35	2109
5	42	2077
6	48	2046
7	55	2040
8	60	1967
9	67	1943
10	74	1955
11	82	1980
12	91	2018
13	98	2013
14	105	2006
15	113	2013
16	119	1986
17	124	1950
18	129	1917
19	134	1882
20	139	1851
21	148	1870
22	154	1855
23	161	1852
24	166	1832
25	175	1848
26	180	1822
27	186	1811
28	191	1786
29	198	1785
30	205	1785
31	212	1780
32	219	1774
33	225	1767
34	234	1776
35	241	1768
36	249	1775
37	255	1764
38	262	1753
39	268	1747
40	274	1732
41	281	1729
42	287	1717
43	293	1708
44	299	1697
45	306	1691
46	314	1691
47	322	1690
48	329	1685
49	334	1674
50	340	1660
51	345	1649
52	352	1640
53	358	1633
54	365	1627
55	372	1621
56	379	1616
57	385	1609
58	392	1601
59	396	1586
60	402	1575
61	407	1563
62	413	1554
63	417	1541
64	422	1528
65	428	1518
66	434	1511
67	439	1500
68	444	1488
69	450	1479
70	455	1470
71	461	1461
72	466	1452
73	471	1440
74	477	1432
75	481	1420
76	486	1410
77	492	1401
78	497	1392
79	502	1382
80	507	1373
81	514	1366
82	520	1359
83	525	1351
84	531	1343
85	536	1336
86	542	1327
87	547	1318
88	552	1309
89	557	1300
90	562	1290
91	567	1282
92	571	1273
93	577	1265
94	583	1258
95	587	1249
96	592	1240
97	598	1234
98	603	1226
99	608	1217
100	613	1209
101	618	1201
102	624	1193
103	629	1186
104	634	1178
105	639	1171
106	645	1163
107	650	1156
108	655	1147
109	660	1140
110	666	1134
111	673	1129
112	679	1124
113	686	1119
114	692	1113
115	697	1106
116	704	1101
117	710	1096
118	716	1090
119	723	1085
120	729	1079
121	734	1072
122	741	1066
123	747	1060
124	753	1054
125	759	1048
126	766	1043
127	772	1038
128	778	1032
129	785	1027
130	792	1021
131	797	1015
132	804	1010
133	810	1004
134	816	997
135	822	992
136	828	986
137	834	979
138	840	973
139	846	967
140	852	961
141	858	955
142	863	948
143	869	942
144	875	936
145	881	929
146	887	923
147	892	916
148	897	909
149	903	903
150	908	896
151	913	889
152	918	882
153	923	875
154	930	870
155	934	862
156	940	856
157	945	849
158	950	842
159	955	835
160	960	829
161	965	822
162	971	816
163	976	809
164	981	803
165	986	796
166	991	789
167	997	783
168	1002	776
169	1007	770
170	1012	763
171	1017	757
172	1022	750
173	1027	743
174	1032	737
175	1037	731
176	1042	724
177	1047	718
178	1053	712
179	1058	705
180	1064	699
181	1069	693
182	1074	686
183	1079	680
184	1083	673
185	1088	667
186	1094	661
187	1099	655
188	1104	648
189	1109	642
190	1114	636
191	1119	629
192	1124	623
193	1129	617
194	1134	610
195	1140	605
196	1145	598
197	1150	592
198	1155	586
199	1160	580
200	1165	573
201	1169	567
202	1175	561
203	1179	555
204	1185	549
205	1189	542
206	1194	536
207	1200	531
208	1205	525
209	1211	519
210	1216	513
211	1222	507
212	1227	501
213	1233	495
214	1239	489
215	1245	484
216	1250	478
217	1255	472
218	1261	466
219	1265	460
220	1271	454
221	1276	448
222	1281	442
223	1287	436
224	1293	431
225	1298	425
226	1303	419
227	1309	413
228	1314	407
229	1320	402
230	1325	395
231	1330	390
232	1336	384
233	1342	378
234	1347	372
235	1352	366
236	1357	360
237	1363	355
238	1368	349
239	1372	343
240	1378	337
241	1383	331
242	1388	325
243	1393	319
244	1398	313
245	1404	308
246	1409	302
247	1414	296
248	1419	290
249	1424	284
250	1429	279
251	1433	273
252	1438	267
253	1443	261
254	1448	255
255	1453	249
256	1459	244
257	1464	238
258	1469	232
259	1474	226
260	1479	221
261	1484	215
262	1489	209
263	1494	203
264	1499	198
265	1505	192
266	1542	190
267	1561	186
268	1584	182
269	1602	178
270	1624	173
271	1644	169
272	1665	164
273	1685	159
274	1702	154
275	1719	149
276	1734	144
277	1752	138
278	1776	133
279	1794	128
280	1808	122
281	1826	116
282	1845	110
283	1862	104
284	1884	99
285	1907	93
286	1928	87
287	1941	80
288	1958	74
289	1973	68
290	1989	61
291	2007	54
292	2034	48
293	2068	42
294	2092	35
295	2119	28
296	2143	21
297	2161	14
298	2181	7
299	2207	0
